monthYear,lyftTotal,lyftTotalFee,uberTotal,uberTotalFee,wingzTotal,wingzTotalFee,opoliTotal,opoliTotalFee,bellCabTotal,bellCabTotalFee
Jul-20,9056,36224,0,0,0,0,0,0,0,0
Aug-20,9742,38968,0,0,0,0,0,0,0,0
Sep-20,10236,40944,0,0,0,0,0,0,0,0
Oct-20,11141,44564,0,0,0,0,0,0,0,0
Nov-20,11438,45752,0,0,0,0,0,0,0,0
Dec-20,26448,105792,0,0,0,0,0,0,0,0
Jan-21,9167,36668,0,0,0,0,0,0,0,0
Feb-21,8895,35580,0,0,9,36,0,0,0,0
Mar-21,12907,51628,0,0,10,40,0,0,0,0
Apr-21,13123,52492,0,0,8,32,0,0,0,0
May-21,16499,65996,0,0,8,32,0,0,0,0
Jun-21,18916,75664,0,0,14,56,0,0,0,0
Jul-21,20301,81204,0,0,28,112,34,136,0,0
Aug-21,23048,92192,0,0,26,104,38,152,0,0
Sep-21,22652,90608,0,0,22,88,26,104,0,0
Oct-21,27306,109224,0,0,25,100,23,92,0,0
Nov-21,30107,120428,0,0,31,124,27,108,0,0
Dec-21,26448,105792,2604,10416,22,88,26,104,0,0
Jan-22,15098,60392,9589,38356,10,40,28,112,0,0
Feb-22,15533,62132,9840,39360,9,36,26,104,0,0
Mar-22,22072,88288,13803,55212,0,0,37,148,0,0
Apr-22,21122,84488,13571,54284,22,88,40,160,0,0
May-22,23366,93464,16502,66008,24,96,42,168,0,0
Jun-22,19265,77060,18121,72484,13,52,48,192,0,0
Jul-22,18405,73620,18517,74068,16,64,51,204,0,0
Aug-22,20744,82976,20898,83592,7,28,34,136,0,0
Sep-22,21404,85616,22848,91392,17,68,23,92,0,0
Oct-22,22579,90316,26138,104552,23,92,21,84,0,0
Nov-22,22473,89892,25265,101060,20,80,18,72,0,0
Dec-22,19892,79568,23502,94008,17,68,13,52,0,0
Jan-23,17700,70800,23709,94836,12,48,23,92,0,0
Feb-23,16740,66960,23647,94588,15,60,27,108,0,0
Mar-23,22180,88720,28330,113320,21,84,37,148,0,0
Apr-23,21788,87152,27970,111880,18,72,42,168,0,0
May-23,21811,87244,29870,119480,16,64,44,176,0,0
Jun-23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jul-23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Aug-23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sep-23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Oct-23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Nov-23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dec-23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jan-24,20068,80272,28999,115996,13,52,62,248,1308,5232
Feb-24,19525,78100,28214,112856,5,20,65,260,1299,5196
Mar-24,24185,96740,34104,136416,7,28,80,320,1074,4296
Apr-24,23965,95860,34066,136264,9,36,86,344,1421,5684
May-24,25574,102296,37483,149932,17,68,102,408,0,0
Jun-24,24149,96596,36294,145176,10,40,82,328,1202,4808
Jul-24,25935,103740,35866,143464,1,4,72,288,1106,4424
Aug-24,27030,108120,36349,145396,6,24,75,300,1078,4312
Sep-24,25787,103148,39135,156540,4,16,81,324,1130,4520
Oct-24,28050,112200,44078,176312,3,12,86,344,1274,5096
Nov-24,24704,98816,39124,156496,5,20,91,364,1004,4016
Dec-24,24398,97592,39514,158056,4,16,86,344,984,3936
Jan-25,21262,85048,33055,132220,4,16,65,260,890,3560
Feb-25,19802,79208,31946,127784,1,4,51,204,836,3344
Mar-25,25023,100092,38737,154948,12,48,76,304,0,0
Apr-25,24351,97404,38220,152880,5,20,93,372,0,0
May-25,26843,107372,41675,166700,5,20,92,368,1015,4060
Jun-25,22028,88112,42072,168288,7,28,117,468,955,3820
Jul-25,21483,85932,44323,177292,0,0,0,0,865,3460
Aug-25,20129,80516,44156,176624,4,16,81,324,893,3572
