monthYear,lyftPickup,liftDropoff,lyftTotal,lyftTotalFee,uberPickup,uberDropoff,uberTotal,uberTotalFee,wingzPickup,wingzDropoff,wingzTotal,wingzTotalFee,opoliPickup,opoliDropoff,opoliTotal,opoliTotalFee
Jul-20,4664,4392,9056,36224,0,0,0,0,0,0,0,0,0,0,0,0
Aug-20,5018,4724,9742,38968,0,0,0,0,0,0,0,0,0,0,0,0
Sep-20,5098,5138,10236,40944,0,0,0,0,0,0,0,0,0,0,0,0
Oct-20,5499,5642,11141,44564,0,0,0,0,0,0,0,0,0,0,0,0
Nov-20,5630,5808,11438,45752,0,0,0,0,0,0,0,0,0,0,0,0
Dec-20,12653,13795,26448,105792,0,0,0,0,0,0,0,0,0,0,0,0
Jan-21,4884,4283,9167,36668,0,0,0,0,0,0,0,0,0,0,0,0
Feb-21,4287,4608,8895,35580,0,0,0,0,4,5,9,36,0,0,0,0
Mar-21,6229,6678,12907,51628,0,0,0,0,5,5,10,40,0,0,0,0
Apr-21,6298,6825,13123,52492,0,0,0,0,4,4,8,32,0,0,0,0
May-21,8154,8345,16499,65996,0,0,0,0,4,4,8,32,0,0,0,0
Jun-21,9533,9383,18916,75664,0,0,0,0,6,8,14,56,0,0,0,0
Jul-21,10360,9941,20301,81204,0,0,0,0,14,14,28,112,14,20,34,136
Aug-21,11892,11156,23048,92192,0,0,0,0,12,14,26,104,14,24,38,152
Sep-21,11507,11145,22652,90608,0,0,0,0,9,13,22,88,10,16,26,104
Oct-21,13984,13322,27306,109224,0,0,0,0,11,14,25,100,9,14,23,92
Nov-21,15543,14564,30107,120428,0,0,0,0,15,16,31,124,12,15,27,108
Dec-21,12653,13795,26448,105792,1089,1515,2604,10416,10,12,22,88,14,12,26,104
Jan-22,9204,5894,15098,60392,5036,4553,9589,38356,3,7,10,40,11,17,28,112
Feb-22,8410,7123,15533,62132,4250,5590,9840,39360,6,3,9,36,11,15,26,104
Mar-22,12388,9684,22072,88288,5569,8234,13803,55212,0,0,0,0,15,22,37,148
Apr-22,11927,9195,21122,84488,5686,7885,13571,54284,7,15,22,88,18,22,40,160
May-22,12852,10514,23366,93464,6891,9611,16502,66008,15,9,24,96,19,23,42,168
Jun-22,10344,8921,19265,77060,8412,9709,18121,72484,6,7,13,52,18,30,48,192
Jul-22,9794,8611,18405,73620,9338,9179,18517,74068,8,8,16,64,17,34,51,204
Aug-22,11017,9727,20744,82976,10913,9985,20898,83592,2,5,7,28,16,18,34,136
Sep-22,11338,10066,21404,85616,11728,11120,22848,91392,8,9,17,68,8,15,23,92
Oct-22,12010,10569,22579,90316,13203,12935,26138,104552,6,17,23,92,4,17,21,84
Nov-22,11792,10681,22473,89892,12727,12538,25265,101060,6,14,20,80,5,13,18,72
Dec-22,9511,10381,19892,79568,11586,11916,23502,94008,5,12,17,68,8,5,13,52
Jan-23,9936,7764,17700,70800,13875,9834,23709,94836,5,7,12,48,9,14,23,92
Feb-23,8587,8153,16740,66960,12743,10904,23647,94588,6,9,15,60,10,17,27,108
Mar-23,11228,10952,22180,88720,14647,13683,28330,113320,9,12,21,84,11,26,37,148
Apr-23,11636,10152,21788,87152,14777,13193,27970,111880,7,11,18,72,18,24,42,168
May-23,10989,10822,21811,87244,15410,14460,29870,119480,8,8,16,64,21,23,44,176
